cars,motorcycles,buses,trucks,total_vehicles,average_movement,road_occupancy,congestion_level
22,7,2,2,33,49.62,35.21,MEDIUM
10,11,1,1,23,98.52,9.9,LOW
10,11,1,0,22,105.43,23.25,LOW
20,10,2,4,36,30.79,35.37,MEDIUM
27,16,5,3,51,14.77,77.59,HIGH
24,15,4,5,48,15.2,76.38,HIGH
12,7,4,2,25,44.43,45.7,MEDIUM
21,6,3,4,34,57.03,38.7,MEDIUM
23,8,2,4,37,70.87,49.83,MEDIUM
24,8,3,2,37,53.89,32.82,MEDIUM
0,10,1,0,11,96.38,17.39,LOW
26,14,6,6,52,10.04,74.06,HIGH
11,3,0,0,14,105.75,12.28,LOW
22,8,3,1,34,48.81,37.18,MEDIUM
12,7,0,0,19,118.28,20.85,LOW
1,4,0,0,5,114.5,23.35,LOW
25,13,1,3,42,26.26,42.38,MEDIUM
5,1,2,1,9,109.8,23.88,LOW
35,13,3,3,54,20.66,79.2,HIGH
15,16,2,1,34,47.62,58.0,MEDIUM
24,11,10,5,50,21.12,68.14,HIGH
7,5,0,2,14,122.27,19.41,LOW
7,4,1,2,14,86.82,16.43,LOW
7,2,0,2,11,137.28,18.65,LOW
28,19,2,2,51,11.59,80.59,HIGH
13,7,2,2,24,65.38,46.46,MEDIUM
21,15,4,1,41,57.46,52.63,MEDIUM
8,2,2,0,12,109.32,9.4,LOW
34,14,5,4,57,13.6,58.0,HIGH
36,22,5,5,68,9.34,70.92,HIGH
34,22,2,2,60,17.95,76.62,HIGH
22,4,4,2,32,48.88,52.61,MEDIUM
17,8,2,1,28,44.53,43.45,MEDIUM
18,10,2,5,35,30.71,43.48,MEDIUM
24,7,2,2,35,70.87,39.43,MEDIUM
39,24,7,6,76,12.42,58.0,HIGH
24,9,3,1,37,46.4,41.6,MEDIUM
7,4,0,0,11,98.48,21.34,LOW
5,10,0,0,15,121.0,11.99,LOW
22,7,3,1,33,57.24,44.39,MEDIUM
29,9,2,2,42,36.92,35.72,MEDIUM
23,10,3,6,42,25.0,55.8,MEDIUM
22,6,2,2,32,61.71,49.35,MEDIUM
29,16,6,2,53,19.36,64.5,HIGH
46,18,4,4,72,15.27,79.52,HIGH
12,10,3,2,27,57.91,49.5,MEDIUM
25,8,3,1,37,70.35,57.18,MEDIUM
37,17,2,5,61,22.29,74.34,HIGH
20,9,3,1,33,58.18,43.01,MEDIUM
24,10,3,4,41,52.69,49.23,MEDIUM
24,12,1,2,39,40.64,52.64,MEDIUM
27,12,2,1,42,46.08,40.29,MEDIUM
30,19,5,2,56,17.15,93.77,HIGH
23,12,1,2,38,49.53,40.92,MEDIUM
17,10,4,2,33,37.29,53.85,MEDIUM
6,2,0,2,10,75.7,5.32,LOW
20,5,3,2,30,47.26,34.05,MEDIUM
30,17,2,4,53,8.36,75.22,HIGH
3,4,2,1,10,167.98,17.36,LOW
14,4,1,1,20,180.0,21.72,LOW
10,8,1,1,20,136.67,22.02,LOW
14,7,0,0,21,65.0,10.69,LOW
23,7,4,2,36,40.62,35.92,MEDIUM
31,13,6,5,55,11.51,88.99,HIGH
18,10,2,2,32,57.32,43.26,MEDIUM
16,8,1,2,27,44.29,49.0,MEDIUM
17,11,2,3,33,58.23,56.79,MEDIUM
37,8,2,7,54,15.08,69.29,HIGH
8,5,1,0,14,112.4,12.23,LOW
37,8,2,7,54,15.96,84.61,HIGH
12,8,0,0,20,82.36,13.71,LOW
40,16,5,4,65,4.37,78.53,HIGH
12,11,1,1,25,25.09,41.31,MEDIUM
9,4,1,2,16,104.15,13.6,LOW
6,9,1,0,16,127.42,13.0,LOW
45,14,7,5,71,3.11,82.03,HIGH
12,13,1,4,30,46.04,40.31,MEDIUM
27,14,5,10,56,6.22,84.82,HIGH
31,7,1,1,40,58.55,28.0,MEDIUM
14,12,3,2,31,39.94,34.91,MEDIUM
12,12,3,2,29,63.49,39.33,MEDIUM
9,6,0,2,17,79.36,6.21,LOW
4,0,0,2,6,86.27,28.0,LOW
16,16,2,1,35,36.6,51.89,MEDIUM
20,18,3,2,43,61.06,45.86,MEDIUM
30,5,2,3,40,49.35,34.14,MEDIUM
31,10,5,3,49,22.48,73.18,HIGH
11,1,1,2,15,65.0,10.22,LOW
29,19,9,3,60,13.62,76.08,HIGH
12,5,0,0,17,108.21,14.78,LOW
3,6,0,1,10,139.68,28.0,LOW
26,10,2,5,43,19.02,80.66,HIGH
9,2,2,1,14,139.48,15.41,LOW
11,6,1,2,20,65.0,19.07,LOW
11,6,0,0,17,120.74,16.25,LOW
15,4,0,0,19,65.0,5.5,LOW
32,11,1,2,46,62.26,58.0,MEDIUM
0,12,2,1,15,108.63,16.71,LOW
5,3,1,1,10,126.46,27.06,LOW
13,10,2,1,26,47.4,39.53,MEDIUM
18,4,2,2,26,37.87,37.88,MEDIUM
7,3,2,1,13,135.8,6.09,LOW
21,14,5,4,44,52.99,50.36,MEDIUM
7,1,2,1,11,104.48,15.16,LOW
7,2,0,0,9,108.07,17.05,LOW
24,8,6,6,44,14.42,86.5,HIGH
11,4,0,3,18,75.26,5.13,LOW
23,13,2,2,40,31.79,39.14,MEDIUM
34,8,4,7,53,27.71,68.69,HIGH
14,5,0,0,19,101.99,17.54,LOW
24,22,3,7,56,5.06,63.38,HIGH
7,7,0,1,15,114.16,17.95,LOW
8,8,2,0,18,136.97,14.77,LOW
8,0,0,1,9,128.46,16.03,LOW
37,22,7,7,73,21.92,78.63,HIGH
22,14,2,3,41,25.0,37.32,MEDIUM
1,4,1,0,6,65.0,14.47,LOW
34,19,7,4,64,2.23,73.81,HIGH
30,20,6,8,64,10.03,78.28,HIGH
7,4,1,1,13,131.51,11.5,LOW
7,2,0,0,9,109.17,25.77,LOW
33,13,3,6,55,5.52,85.53,HIGH
11,2,0,2,15,101.93,13.5,LOW
8,6,0,1,15,111.61,3.15,LOW
26,20,8,9,63,24.57,72.22,HIGH
12,6,2,4,24,56.68,31.32,MEDIUM
9,1,0,2,12,109.01,19.09,LOW
25,19,5,2,51,19.45,81.5,HIGH
39,24,2,5,70,4.68,71.94,HIGH
7,5,1,1,14,113.76,17.19,LOW
6,3,2,1,12,78.48,20.51,LOW
34,17,8,5,64,17.95,69.42,HIGH
7,7,2,2,18,103.28,8.36,LOW
12,5,4,4,25,48.76,32.09,MEDIUM
4,4,1,0,9,89.44,16.46,LOW
22,5,2,2,31,52.7,39.04,MEDIUM
22,14,2,3,41,36.9,49.12,MEDIUM
24,13,5,7,49,15.3,73.48,HIGH
48,17,8,4,77,10.42,74.37,HIGH
9,7,0,0,16,123.05,16.78,LOW
21,5,2,1,29,49.03,35.34,MEDIUM
13,10,4,1,28,52.22,49.5,MEDIUM
14,13,3,4,34,45.08,47.7,MEDIUM
22,10,1,1,34,53.37,28.0,MEDIUM
31,19,4,5,59,22.9,67.59,HIGH
35,21,4,7,67,8.68,73.76,HIGH
21,8,3,2,34,55.72,46.04,MEDIUM
13,3,1,0,17,104.56,21.59,LOW
17,10,3,1,31,63.91,39.31,MEDIUM
25,12,2,3,42,41.52,48.84,MEDIUM
29,12,6,4,51,10.01,68.5,HIGH
29,11,2,5,47,15.42,76.19,HIGH
9,7,1,0,17,89.31,15.52,LOW
27,14,6,7,54,12.52,63.62,HIGH
41,14,6,5,66,15.58,78.44,HIGH
34,17,7,3,61,20.17,68.69,HIGH
34,18,3,5,60,20.98,96.0,HIGH
22,4,1,2,29,46.39,32.32,MEDIUM
18,12,3,3,36,55.63,29.72,MEDIUM
9,4,0,0,13,111.51,28.0,LOW
38,13,2,5,58,24.45,60.26,HIGH
18,11,2,2,33,43.16,44.64,MEDIUM
18,18,2,2,40,73.9,35.34,MEDIUM
26,8,1,3,38,42.38,32.48,MEDIUM
23,4,2,3,32,67.81,44.84,MEDIUM
4,0,1,2,7,75.04,18.38,LOW
8,5,1,0,14,110.61,17.99,LOW
25,11,2,2,40,62.43,30.62,MEDIUM
5,8,0,0,13,86.12,17.54,LOW
12,4,0,1,17,96.62,14.46,LOW
14,10,3,4,31,68.97,33.88,MEDIUM
20,12,1,4,37,58.58,47.75,MEDIUM
18,11,4,3,36,54.98,45.71,MEDIUM
11,6,0,0,17,100.21,9.47,LOW
7,9,0,1,17,112.18,13.21,LOW
10,5,1,0,16,111.97,3.01,LOW
18,9,1,3,31,60.59,38.38,MEDIUM
26,22,3,7,58,27.02,78.11,HIGH
22,13,4,4,43,60.47,39.48,MEDIUM
6,5,1,1,13,120.92,22.14,LOW
22,9,5,3,39,56.88,31.79,MEDIUM
35,17,2,8,62,11.82,58.93,HIGH
24,9,4,3,40,45.84,29.11,MEDIUM
18,6,3,3,30,39.0,52.84,MEDIUM
22,7,3,4,36,59.79,41.62,MEDIUM
15,5,1,1,22,35.39,43.28,MEDIUM
7,8,1,0,16,129.29,3.0,LOW
12,8,1,3,24,25.22,42.23,MEDIUM
34,12,5,7,58,4.69,76.7,HIGH
26,6,4,1,37,55.22,45.8,MEDIUM
36,20,4,4,64,21.26,79.89,HIGH
12,11,1,1,25,31.73,50.9,MEDIUM
1,7,1,1,10,85.83,14.71,LOW
1,8,0,3,12,95.89,16.11,LOW
15,12,3,1,31,57.86,48.49,MEDIUM
33,22,3,6,64,11.4,71.66,HIGH
34,13,4,7,58,12.38,73.21,HIGH
19,16,1,2,38,34.97,44.91,MEDIUM
16,4,3,3,26,47.23,53.63,MEDIUM
2,7,1,0,10,97.15,8.64,LOW
11,8,1,0,20,96.89,17.94,LOW
26,8,4,3,41,75.0,30.16,MEDIUM
39,15,5,2,61,29.22,72.52,HIGH
23,11,3,2,39,25.0,50.78,MEDIUM
14,3,0,0,17,111.39,21.57,LOW
3,7,0,0,10,127.77,17.67,LOW
18,7,1,2,28,75.0,51.96,MEDIUM
24,8,1,2,35,37.54,28.95,MEDIUM
20,12,1,2,35,52.9,32.79,MEDIUM
23,15,2,3,43,56.0,45.78,MEDIUM
12,5,1,0,18,97.81,12.4,LOW
48,21,8,6,83,24.17,67.48,HIGH
5,5,0,0,10,135.16,11.54,LOW
18,4,3,1,26,50.72,44.22,MEDIUM
43,18,3,4,68,16.72,58.0,HIGH
42,16,4,5,67,25.04,67.26,HIGH
35,18,4,5,62,14.5,82.73,HIGH
22,7,2,3,34,55.06,44.13,MEDIUM
19,4,3,2,28,25.0,51.56,MEDIUM
23,12,2,3,40,62.35,48.98,MEDIUM
12,3,0,0,15,65.0,12.89,LOW
7,8,1,0,16,119.03,24.23,LOW
18,4,2,3,27,38.43,34.34,MEDIUM
18,11,3,3,35,52.67,52.23,MEDIUM
9,7,0,0,16,65.0,8.85,LOW
16,8,0,0,24,141.67,10.75,LOW
7,3,2,1,13,90.68,17.44,LOW
8,3,1,1,13,132.38,18.81,LOW
23,11,1,2,37,48.53,42.75,MEDIUM
32,12,2,10,56,24.77,66.99,HIGH
29,5,3,1,38,41.65,34.65,MEDIUM
36,14,4,7,61,8.72,91.51,HIGH
11,2,1,2,16,120.34,26.26,LOW
12,10,3,3,28,37.83,42.69,MEDIUM
6,6,0,1,13,111.92,7.3,LOW
22,4,3,1,30,56.63,47.01,MEDIUM
18,8,3,3,32,56.85,49.75,MEDIUM
47,16,4,4,71,32.0,64.34,HIGH
24,11,7,5,47,16.56,80.83,HIGH
39,12,8,2,61,25.18,71.98,HIGH
12,0,0,0,12,77.63,21.96,LOW
19,7,3,3,32,63.41,53.59,MEDIUM
37,17,4,6,64,26.61,77.44,HIGH
30,19,2,7,58,20.7,77.46,HIGH
35,18,3,3,59,16.75,71.13,HIGH
34,17,4,8,63,14.6,76.09,HIGH
23,4,4,2,33,45.39,44.0,MEDIUM
39,23,3,6,71,18.37,65.07,HIGH
39,17,6,5,67,7.69,83.52,HIGH
14,3,0,1,18,85.04,16.81,LOW
23,9,2,1,35,37.15,57.29,MEDIUM
12,6,2,2,22,59.95,40.45,MEDIUM
8,7,0,0,15,100.2,6.22,LOW
10,3,1,0,14,138.15,14.69,LOW
37,14,7,7,65,22.11,65.3,HIGH
7,9,1,0,17,94.66,13.19,LOW
11,3,0,0,14,147.52,20.1,LOW
35,21,4,2,62,14.94,83.54,HIGH
3,6,0,2,11,90.42,13.07,LOW
20,16,1,1,38,51.98,42.41,MEDIUM
24,14,8,6,52,9.96,73.72,HIGH
31,15,3,3,52,18.17,62.54,HIGH
16,8,2,3,29,40.13,50.97,MEDIUM
13,9,2,2,26,64.85,38.34,MEDIUM
22,11,4,2,39,35.82,45.6,MEDIUM
40,11,4,5,60,3.43,71.03,HIGH
4,11,0,1,16,125.84,17.48,LOW
19,8,1,1,29,55.57,37.6,MEDIUM
9,3,1,3,16,131.78,13.04,LOW
23,9,2,2,36,55.14,42.62,MEDIUM
8,6,1,0,15,71.65,22.67,LOW
12,10,3,2,27,44.51,40.73,MEDIUM
9,4,1,2,16,106.68,9.15,LOW
40,14,5,9,68,15.86,76.6,HIGH
16,9,2,1,28,60.76,52.2,MEDIUM
6,5,2,0,13,113.32,10.8,LOW
7,7,0,1,15,96.74,10.24,LOW
36,16,3,6,61,11.75,70.36,HIGH
21,4,3,2,30,58.15,39.58,MEDIUM
7,5,1,1,14,150.34,17.72,LOW
6,8,1,1,16,122.12,9.92,LOW
8,5,2,1,16,123.46,21.44,LOW
19,9,3,3,34,48.61,43.72,MEDIUM
5,0,0,1,6,77.99,25.53,LOW
44,12,4,4,64,16.05,60.69,HIGH
21,16,2,4,43,59.3,46.42,MEDIUM
36,22,6,7,71,18.29,61.5,HIGH
23,15,1,2,41,43.62,29.46,MEDIUM
9,5,0,1,15,95.61,15.73,LOW
9,1,1,0,11,96.93,21.29,LOW
31,9,3,1,44,67.72,32.66,MEDIUM
30,16,5,6,57,14.12,58.0,HIGH
8,3,0,1,12,73.8,6.56,LOW
34,16,5,5,60,14.6,77.31,HIGH
32,13,4,9,58,14.72,73.82,HIGH
17,11,2,2,32,75.0,40.02,MEDIUM
9,4,0,0,13,132.08,14.53,LOW
8,3,1,0,12,112.84,18.97,LOW
25,9,3,1,38,31.35,48.54,MEDIUM
11,5,1,0,17,91.15,13.32,LOW
41,16,7,3,67,19.28,63.47,HIGH
40,9,7,6,62,10.86,72.73,HIGH
36,8,4,2,50,25.59,64.23,HIGH
5,2,1,2,10,84.6,15.37,LOW
20,12,1,2,35,57.17,34.41,MEDIUM
29,16,5,6,56,8.86,75.86,HIGH
8,6,0,2,16,107.54,15.11,LOW
20,9,2,3,34,59.9,35.06,MEDIUM
56,14,6,4,80,18.07,71.86,HIGH
13,6,0,1,20,140.16,10.1,LOW
10,2,1,0,13,94.71,6.56,LOW
51,21,6,6,84,23.05,78.66,HIGH
4,3,1,1,9,109.48,15.7,LOW
12,9,5,3,29,49.77,39.9,MEDIUM
30,19,5,7,61,23.61,80.22,HIGH
5,8,2,0,15,89.19,17.83,LOW
18,13,2,1,34,49.37,55.63,MEDIUM
19,4,2,1,26,52.49,42.55,MEDIUM
17,11,4,2,34,41.69,28.0,MEDIUM
0,7,0,1,8,161.85,9.48,LOW
7,5,0,0,12,138.57,19.51,LOW
43,27,6,7,83,16.91,72.73,HIGH
38,18,5,6,67,27.23,71.43,HIGH
31,18,2,11,62,19.72,75.34,HIGH
13,12,2,3,30,53.53,40.12,MEDIUM
26,12,3,2,43,39.84,52.0,MEDIUM
24,16,1,1,42,42.54,46.66,MEDIUM
5,7,0,1,13,111.14,11.09,LOW
5,6,1,1,13,96.24,10.97,LOW
12,3,0,1,16,90.38,18.89,LOW
32,23,8,5,68,8.94,58.0,HIGH
35,18,2,7,62,2.0,68.33,HIGH
43,21,2,7,73,15.63,69.04,HIGH
40,17,9,4,70,19.63,69.24,HIGH
12,0,0,1,13,149.14,14.61,LOW
